text,policy_area
"To limit the fees charged by the National Archives and Records Administration to veterans for
			 military service records, and for other purposes.",Armed Forces and National Security
Expressing the sense of the House of Representatives that the Nation should honor and recognize military families who have been disproportionately affected by the COVID–19 crisis.,Armed Forces and National Security
"To amend title 10, United States Code, to include training on consequences of committing a crime in preseparation counseling of the Transition Assistance Program of the Department of Defense.",Armed Forces and National Security
"To amend title 10, United States Code, to provide an extension of the special survivor indemnity allowance provided to widows and widowers of certain deceased members of the uniformed services.",Armed Forces and National Security
"To amend title 10, United States Code, to require that
		  implementation of the repeal of the former Department of Defense policy
		  concerning homosexual behavior in the Armed Forces not infringe upon the free
		  exercise of religion by and the rights of conscience of members of the Armed
		  Forces, including chaplains, and for other purposes.",Armed Forces and National Security
"Designating April 5, 2013, as Gold
		  Star Wives Day.",Armed Forces and National Security
"To authorize the provision of health care for certain individuals exposed to environmental hazards
			 at Atsugi Naval Air Facility, to establish an advisory board to examine
			 exposures to environmental hazards at such Air Facility, and for other
			 purposes.",Armed Forces and National Security
"To amend title 10, United States Code, to provide a period for the relocation of spouses and
			 dependents of certain
			 members of the Armed Forces undergoing a permanent
			 change of
			 station in order to ease and facilitate the relocation of military
			 families.",Armed Forces and National Security
"To authorize the Secretary of Veterans Affairs to provide support to university law school programs
			 that are designed to provide legal assistance to veterans, and for other
			 purposes.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to award grants to establish, or expand upon, master’s
			 degree programs in orthotics and prosthetics, and for other purposes.",Armed Forces and National Security
"To amend title 10, United States Code, to improve the management of medical care for members of the Armed Forces, to improve the speed and efficiency of the physical disability evaluation system of the Department of Defense, and for other purposes.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to develop and maintain a suicide risk management and
			 prevention and lethal means training course for certain employees of the
			 Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To amend the National Defense Authorization Act for
		  Fiscal Year 2012 to provide for the trial of covered persons detained in the
		  United States pursuant to the Authorization for Use of Military Force and to
		  repeal the requirement for military custody.",Armed Forces and National Security
"To require the Secretary of Defense to submit to Congress

		  all documentation related to the Secretary's recommendations for the 2005 round

		  of defense base closure and realignment. ",Armed Forces and National Security
"To authorize and request the President to issue a posthumous commission in the regular Army to Milton Holland, who, while sergeant major of the 5th Regiment, United States Colored Infantry, was awarded the Medal of Honor for gallantry during the Civil War.",Armed Forces and National Security
"To require the Department of Defense to grant access to
		  accredited members of the media at military commemoration ceremonies and
		  memorial services for members of the Armed Forces who have died on active duty
		  and when the remains of members of the Armed Forces arrive at military
		  installations in the United States.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for a presumption of service connection for certain diseases in veterans who were exposed to burn pits.",Armed Forces and National Security
"To amend title 38, United States Code, to improve benefits administered by the Secretary of Veterans Affairs, and for other purposes. ",Armed Forces and National Security
"Expressing the sense of the Senate that the
		  United States should leave no member of the Armed Forces unaccounted for during
		  the drawdown of forces in Afghanistan.",Armed Forces and National Security
"To provide for free mailing privileges for personal
		  correspondence and parcels sent to members of the Armed Forces serving on
		  active duty in Iraq or Afghanistan.",Armed Forces and National Security
"To authorize major medical facility projects for the Department of Veterans Affairs for fiscal year 2022, and for other purposes.",Armed Forces and National Security
"To improve information security for veterans, and for
		  other purposes.",Armed Forces and National Security
"Designating the month of November 2011 as National
		  Military Family Month.",Armed Forces and National Security
"To amend title 38, United States Code, to improve the
		  quality of care provided to veterans in Department of Veterans Affairs medical
		  facilities, to encourage highly qualified doctors to serve in hard-to-fill
		  positions in such medical facilities, and for other purposes.",Armed Forces and National Security
"To repeal the military surplus program under title 10, United States Code.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to update the Lethal Means Safety and Suicide Prevention training course of the Department of Veterans Affairs, and for other purposes.",Armed Forces and National Security
"To amend section 504 of the Veterans' Benefits Improvements Act of 1996 to specify the funding
			 source for travel related to examinations by physicians not employed by
			 the Department of Veterans Affairs regarding medical disabilities of
			 applicants for benefits under title 38, United States Code, to codify
			 section 504 of the Veterans' Benefits Improvements Act of 1996, and for
			 other purposes.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to submit to
		  Congress a report on the feasibility and advisability of establishing a
		  polytrauma rehabilitation center or polytrauma network site of the Department
		  of Veterans Affairs in the southern New Mexico and El Paso, Texas, region, and
		  for other purposes.",Armed Forces and National Security
"Recognizing Connecticut’s Submarine Century, the 100th anniversary of the establishment of Naval
			 Submarine Base New London, and Connecticut’s historic role in supporting
			 the undersea capabilities of the United States.",Armed Forces and National Security
"To amend title 38, United States Code, to grant family of members of the uniformed services temporary annual leave during the deployment of such members, and for other purposes.",Armed Forces and National Security
"To amend section 701 of the Veterans Access, Choice, and Accountability Act of 2014 to clarify the period of eligibility during which certain spouses are entitled to assistance under the Marine Gunnery Sergeant John David Fry Scholarship.",Armed Forces and National Security
To require the Secretary of Veterans Affairs to publish a rule to implement the requirement that the Secretary be permitted to waive the limitation in law on reimbursement of veterans receiving domiciliary care in State homes.,Armed Forces and National Security
"To amend title 38, United States Code, to extend the authority of the Secretary of Veterans Affairs to carry out the Department of Veterans Affairs Health Professional Scholarship Program.",Armed Forces and National Security
"To amend title 38, United States Code, to
		  expand the scope of programs of education for which accelerated payments of
		  educational assistance under the Montgomery GI Bill may be used, and for other
		  purposes.",Armed Forces and National Security
To direct the Secretary of Defense to list certain individuals who are awarded the Purple Heart on the internet website of the Department of Defense that lists individuals who have been awarded certain military awards.,Armed Forces and National Security
"To amend title 37, United States Code, to require the Secretary of Defense to continue to pay to a member of the Armed Forces who is retired or separated from the Armed Forces due to a combat-related injury certain bonuses that the member was entitled to before the retirement or separation and would continue to be entitled to if the member was not retired or separated, and for other purposes. ",Armed Forces and National Security
"To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to waive the
			 requirement of certain veterans to make copayments for hospital care and
			 medical services in the case of an error by the Department of Veterans
			 Affairs, and for other purposes.",Armed Forces and National Security
"To reduce sexual assault and domestic violence involving
		  members of the Armed Forces and their family members and partners through
		  enhanced programs of prevention and deterrence, enhanced programs of victims’
		  services, and strengthened provisions for prosecution of assailants, and for
		  other purposes.",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to ensure compliance of medical facilities of the
			 Department of Veterans Affairs with requirements relating to the
			 scheduling of appointments, to require appointment by the President and
			 confirmation by the Senate of certain health care officials of the
			 Department, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to modify the family caregiver program of the Department of Veterans Affairs to include services related to mental health and neurological disorders, and for other purposes.",Armed Forces and National Security
"To amend title 10, United States Code, to provide a period for the relocation of spouses and
			 dependents of certain members of the Armed Forces undergoing a permanent
			 change of station in order to ease and facilitate the relocation of
			 military families, and for other purposes.",Armed Forces and National Security
"To posthumously advance Lieutenant Colonel Richard E. Cole, United States Air Force, to colonel on
			 the retired list.",Armed Forces and National Security
"To amend title 37, United States Code, to ensure that
		  footwear furnished or obtained by allowance for enlisted members of the Armed
		  Forces upon their initial entry into the Armed Forces complies with domestic
		  source requirements. ",Armed Forces and National Security
"Designating March 29, 2018, as Vietnam Veterans Day.",Armed Forces and National Security
"To amend title 38, United States Code, to expand the

		  scope of programs of education for which accelerated payments of educational

		  assistance under the Montgomery GI Bill may be used, and for other purposes.

		  ",Armed Forces and National Security
"To amend title 38, United States Code, to
		  expand veteran eligibility for reimbursement by the Secretary of Veterans
		  Affairs for emergency treatment furnished in a non-Department facility, and for
		  other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to limit the
		  authority of the Secretary of Veterans Affairs to use bid savings on major
		  medical facility projects of the Department of Veterans Affairs to expand or
		  change the scope of a major medical facility project of the Department, and for
		  other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to prohibit
		  discrimination and acts of reprisal against persons who receive treatment for
		  illnesses, injuries, and disabilities incurred in or aggravated by service in
		  the uniformed services.",Armed Forces and National Security
"Congratulating Captain
			 Kristen Griest and First Lieutenant Shaye Haver on their graduation from
			 Ranger School.",Armed Forces and National Security
"To ensure that the one half of the National Guard forces

		  of each State are available to such State at all times, and for other

		  purposes.",Armed Forces and National Security
"To prohibit the use of funds for an exhibition or parade of
			 military forces and hardware for review by the President outside of
			 authorized military operations or
			 activities. ",Armed Forces and National Security
"To amend title 38, United States Code, to prohibit the
		  Secretary of Veterans Affairs from collecting certain debts owed to the United
		  States by members of the Armed Forces and veterans who die as a result of an
		  injury incurred or aggravated on active duty in a combat zone, and for other
		  purposes.",Armed Forces and National Security
"To expand eligibility for reimbursement for smoking cessation services to include copayments for
			 such services paid after fiscal year 2009 by covered beneficiaries under
			 the TRICARE program who are eligible for Medicare.",Armed Forces and National Security
"To grant the congressional gold medal, collectively, to
		  the First Special Service Force, in recognition of its superior service during
		  World War II.",Armed Forces and National Security
"Expressing the sense of the House of
		  Representatives that the Department of Veterans Affairs should not retreat from
		  its responsibility to support those veterans with combat wounds or
		  service-connected disabilities.",Armed Forces and National Security
"To amend title 10, United States Code, to provide that,
		  in the case of any member or former member of a reserve component of the Armed
		  Forces who is deployed to a combat theater due to an administrative error by
		  the Department of Defense, the member shall be given nonregular service
		  retirement credit equal to six times the length of the mistaken
		  deployment.",Armed Forces and National Security
"To amend title 38, United States Code, to expand the
		  definition of active duty for purposes of the Post-9/11 Educational Assistance
		  Program of the Department of Veterans Affairs to include certain service in the
		  National Guard.",Armed Forces and National Security
"Expressing the firm belief that disposing
		  of any part of the remains of a deceased member of the Armed Forces as medical
		  waste is repugnant, disrespectful and should not to be
		  tolerated.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to conduct a pilot program on posttraumatic growth, and for other purposes.",Armed Forces and National Security
"To grant the Congressional Gold Medal, collectively, to
		  the First Special Service Force, in recognition of its superior service during
		  World War II.",Armed Forces and National Security
"To ensure that an individual who is transitioning from receiving medical treatment furnished by the
			 Secretary of Defense to medical treatment furnished by the Secretary of
			 Veterans Affairs receives the pharmaceutical agents required for such
			 transition.",Armed Forces and National Security
"To amend title 10, United States Code, to eliminate the
		  requirement that certain former members of the reserve components of the Armed
		  Forces be at least 60 years of age in order to be eligible to receive health
		  care benefits.",Armed Forces and National Security
"To establish the Department of Veterans Affairs Advisory Committee on Tribal and Indian Affairs,
			 and for other purposes.",Armed Forces and National Security
"Amend title 38, United States Code, to permit veterans to grant access to their records in the
			 databases of the Veterans Benefits Administration to certain designated
			 congressional employees, and for other purposes.",Armed Forces and National Security
"Honoring the sacrifice of members of the
		  Armed Forces who are also mothers and the support provided by mothers of
		  members of the Armed Forces and mothers who are the spouse of members of the
		  Armed Forces.",Armed Forces and National Security
"To direct the Secretary of Defense to set sustainability goals for the Department of Defense, and for other purposes.",Armed Forces and National Security
"To establish a grant program in the Department of Defense to increase the number of women, LGBT individuals, and underrepresented minorities in military and civilian leadership positions of the Department of Defense.",Armed Forces and National Security
"Expressing the sense of Congress that a
		  site in Arlington National Cemetery should be provided for a memorial marker to
		  honor the memory of the 14 members of the Army’s 24th Infantry Division who
		  have received the Medal of Honor.",Armed Forces and National Security
To prohibit the retention of incidentally acquired communications in the course of intelligence collection activities.,Armed Forces and National Security
"To amend title 38, United States Code, to prevent the
		  Secretary of Veterans Affairs from prohibiting the use of service dogs on
		  Department of Veterans Affairs property.",Armed Forces and National Security
"To require directors of medical centers of the Department of Veterans Affairs to submit annual fact sheets to the Secretary of Veterans Affairs on the status of such facilities, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to reinstate
		  criminal penalties for persons charging veterans unauthorized
		  fees.",Armed Forces and National Security
"To amend title 38, United States Code, to exclude
		  individuals who have been convicted of committing certain sex offenses from
		  receiving certain burial-related benefits and funeral honors which are
		  otherwise available to certain veterans, members of the Armed Forces, and
		  related individuals, and for other purposes.",Armed Forces and National Security
"To amend title 10, United States Code, to ensure that women members of the Armed Forces and their
			 families have access to the contraception they need in order to promote
			 the health and readiness of all members of the Armed Forces, and for other
			 purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to ensure
		  appropriate payment for the cost of long term care provided to veterans in
		  State veterans homes, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to extend the
		  period of eligibility for health care for combat service in the Persian Gulf
		  War or future hostilities from two years to five years after discharge or
		  release. ",Armed Forces and National Security
"To require the Secretary of Veterans Affairs to improve the provision of services and benefits from
			 the Department of Veterans Affairs for veterans who experience domestic
			 violence or sexual assault, and for other purposes.",Armed Forces and National Security
"To direct the Secretary of Defense to establish the Center for Asymmetric Threat Research and Analytics to conduct research countering violent extremist organizations, weapons of mass destruction, and influence operations, and for other purposes.",Armed Forces and National Security
Expressing the sense of the House of Representatives that the President should disapprove of the report of the Defense Base Closure and Realignment Commission containing its recommendations for the closure and realignment of military installations in the United States unless the President is convinced that implementation of such recommendations will not adversely affect the homeland security of the United States.,Armed Forces and National Security
"To amend title 38, United States Code, to expand the availability of health care provided by the Secretary of Veterans Affairs by adjusting the income level for certain priority veterans.",Armed Forces and National Security
"To prohibit the transfer of individuals detained at
		  Guantanamo Bay, Cuba, to facilities in Midwestern States, and for other
		  purposes.",Armed Forces and National Security
"Remembering the December 6, 2019, terrorist attack at Naval Air Station Pensacola and commemorating those who lost their lives, and those who were injured, in the line of duty.",Armed Forces and National Security
"To amend the Department of Veterans Affairs Health Care Programs Enhancement Act of 2001 and title
			 38, United States Code, to require the provision of chiropractic care and
			 services to veterans at all Department of Veterans Affairs medical centers
			 and to expand access to such care and services, and for other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to provide for the treatment of period of service in uniformed services as continued employment for purposes of pension and retirement benefits for individuals who die during the period of service.",Armed Forces and National Security
"To direct the Secretary of Veterans Affairs to conduct outreach to veterans regarding the effect of
			 delayed payments of claims for emergency medical care furnished by
			 non-Department of Veterans Affairs medical providers by the Office of
			 Community Care and to direct the Secretary to submit to Congress an annual
			 report regarding such delayed payments.",Armed Forces and National Security
"To direct the Comptroller General of the United States and the Chief Information Officer of the
			 Department of Defense to assess the cloud security requirements of the
			 Department of Defense.",Armed Forces and National Security
"To improve the reproductive assistance provided by the Department of Defense and the Department of
			 Veterans Affairs to severely wounded, ill, or injured members of the Armed
			 Forces, veterans, and their spouses or partners, and for other purposes.",Armed Forces and National Security
"To amend title 36, United States Code, to designate May 1 as Silver Star Service Banner Day.",Armed Forces and National Security
"To amend title 38, United States Code, to make permanent the authority of the Secretary of Veterans Affairs to transport individuals to and from facilities of the Department of Veterans Affairs in connection with rehabilitation, counseling, examination, treatment, and care, and for other purposes.",Armed Forces and National Security
"Recognizing the commencement of the 9th
		  year of Operation Enduring Freedom and the sacrifice and contributions of
		  United States servicemembers and their families in support of Operation
		  Enduring Freedom.",Armed Forces and National Security
"To improve oversight of privatized military housing provided by the Department of Defense to
 members of the Armed Forces and their families, and for other purposes.",Armed Forces and National Security
"To authorize the Secretary of Veterans Affairs to make grants with minority serving institutions for the purpose of establishing verified delivery systems to address social and academic problems facing veterans enrolled at such institutions, and for other purposes.",Armed Forces and National Security
"To require the Secretary of Defense to enter into an
		  agreement with the Center for the Study of the Presidency to study reforms of
		  the national security interagency system.",Armed Forces and National Security
"To authorize appropriations for the construction of
		  vessels for the Navy and to authorize appropriations for loan guarantees for
		  commercial vessels.",Armed Forces and National Security
"To require the Secretary of Labor to award grants to eligible entities for the provision of transition assistance to members and former members of the Armed Forces who are separated, retired, or discharged from the Armed Forces, and spouses of such members, and for other purposes.",Armed Forces and National Security
"Commemorating and honoring the service and
		  sacrifice of members of the United States Armed Forces and their families as
		  the official combat mission in Iraq draws to a close. ",Armed Forces and National Security
"To establish a Department of Homeland Security counterintelligence vetting task force, and for
			 other purposes.",Armed Forces and National Security
To amend the Honoring the Families of Fallen Soldiers Act to provide a permanent appropriation of funds for the payment of death gratuities and related benefits for survivors of deceased military service members in event of any future period of lapsed appropriations.,Armed Forces and National Security
Recognizing the increased risk of sleep apnea among soldiers returning from active duty and the benefits of continuous positive airway pressure (CPAP) therapy on treating obstructive sleep apnea (OSA) in soldiers suffering from Posttraumatic Stress Disorder (PTSD).,Armed Forces and National Security
"Relating to the death of Frank W. Buckles,
		  the longest surviving United States veteran of the First World
		  War.",Armed Forces and National Security
"To designate the community based outpatient clinic of the Department of Veterans Affairs located at 1961 Premier Drive in Mankato, Minnesota, as the Lyle C. Pearson Community Based Outpatient Clinic.",Armed Forces and National Security
"To amend title 38, United States Code, to furnish readjustment counseling and related mental health services to family members of members of the Armed Forces or veterans who died by suicide, and other purposes.",Armed Forces and National Security
"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to maintain demographic information regarding veterans and publish such information on a website of the Department of Veterans Affairs.",Armed Forces and National Security
"To require the President to transmit to Congress a plan
		  with timeframe and completion date and reports with status updates on the
		  transition of United States military and security operations in Afghanistan to
		  the Government of Afghanistan.",Armed Forces and National Security
"Expressing support for designation of
		  2012–2013 as the Year of the Korean War Veteran and recognizing
		  the 60th anniversary of the Korean War.",Armed Forces and National Security
"To amend title 38, United States Code, to expand health care and benefits from the Department of
			 Veterans Affairs for military sexual trauma, and for other purposes.",Armed Forces and National Security
